x_over_a,E_eV
0,0
0.1052845547,0.206198448225
0.2105691032,0.59713553459
0.3158536579,0.7739808377125
0.4211382126,0.64088755201
0.5264227611,0.488978674025
0.6317073158,0.5740923680225
0.7369918705,0.7993502816075
0.842276419,0.883385853175
0.9475609737,0.7774620221275
1.0524390202,0.6940538395375
1.1577235749,0.78845401261
1.2630081295,0.9481801465225
1.3682926842,0.9648078065725
1.4735772328,0.8365666786775
1.5788617874,0.74426427687
1.6841463421,0.789901220485
1.7894308907,0.8668164819325
1.8947154453,0.8087376940975
2,0.6402382275575
